x-dis,y-dis,z-dis,HOMO-1,HOMO,LUMO,LUMO+1,EXC1,EXC2,EXC3,EXC4,EXC5,EXC6,EXC7,EXC8,EXC9,EXC10,PROB1,PROB2,PROB3,PROB4,PROB5,PROB6,PROB7,PROB8,PROB9,PROB10
0.0,0.0,3.5,-4.749058981369999,-4.06523776395,-2.5571723349039996,-1.835654502132,1.0483,1.6566,1.9845,2.2608,2.451,2.4823,2.6572,2.9289,2.9645,3.0266,1.741e-07,0.000320418,0.0560404425,0.0,0.0,6.950000000000001e-08,8.417e-07,1.1499999999999999e-08,1.95e-08,1.20135e-05
0.0,0.2,3.5,-4.743556977830001,-4.07275335929,-2.555025138567,-1.8398854938749998,1.0583,1.6567,1.9847,2.2712,2.4623,2.4734,2.6647,2.9286,2.9648,3.0397,1.734e-07,0.000574218,0.056111002800000004,2.8328e-06,9.7414e-06,7.01e-08,9.095e-07,9.35e-08,1.63e-08,1.1856800000000001e-05
0.0,0.4,3.5,-4.7269883826,-4.09456273534,-2.549682045515,-1.852270988194,1.0861,1.6556,1.9851,2.3003,2.4469,2.4945,2.6851,2.9249,2.9668,3.0771,1.71e-07,0.0012693736999999999,0.056217413499999994,1.364e-05,7.18e-08,3.72109e-05,1.117e-06,1.827e-07,3.59e-08,1.1485e-05
0.0,0.6,3.5,-4.70000897355,-4.129414199900001,-2.541255708046,-1.8718531684490003,1.1306,1.6515,1.9869999999999999,2.3467,2.4044,2.5457,2.7169,2.9137,2.9737,3.1351,1.6679999999999998e-07,0.0022179456,0.05627884440000001,4.00892e-05,7.49e-08,7.3822e-05,1.4390000000000001e-06,1.7769999999999998e-07,9.400000000000001e-08,1.0251500000000002e-05
0.0,0.8,3.5,-4.66454526824,-4.17513089697,-2.5303186392879997,-1.89681435988,1.1888,1.6429,1.9925,2.3494,2.4074,2.6119,2.7568,2.8944,2.9842,3.1692,1.606e-07,0.0033001798999999997,0.056155519699999996,7.990000000000001e-08,9.23556e-05,0.0001130465,1.8185e-06,1.6260000000000001e-07,1.502e-07,7.347e-07
0.0,1.0,3.5,-4.62277956481,-4.2287196495499995,-2.518325523263,-1.9253260034470001,1.2563,1.6283,2.0023,2.2859,2.4775,2.6878,2.8016,2.8679,2.9935,3.178,1.522e-07,0.0045572461,0.055611127999999996,8.68e-08,0.0001799559,0.0001544437,2.1749e-06,1.791e-07,2.156e-07,2.134e-07
0.0,1.2,3.5,-4.57682069251,-4.28738047661,-2.5064466921779998,-1.955277909365,1.3287,1.6077,2.0168,2.218,2.5525,2.7679,2.8332,2.8507,2.9973,3.1909,1.413e-07,0.0062084577,0.0544601341,9.57e-08,0.0003107868,0.0001950116,4.01e-07,2.2599e-06,3.194e-07,1.8800000000000002e-07
0.0,1.4,3.5,-4.529623733359999,-4.348188227900001,-2.495856015631,-1.984515806515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.6,3.5,-4.4840839058399995,-4.40810346823,-2.486203836127,-2.011987457128,1.4721,1.5578,2.0579,2.0879,2.7003,2.7625,2.9177,2.9405,2.9824,3.2341,1.121e-07,0.0121008045,0.0501708166,1.205e-07,0.0006626606,2.824e-07,0.0002768998,2.4994e-06,6.465000000000001e-07,2.005e-07
0.0,1.8,3.5,-4.46494662053,-4.4426991522099994,-2.478259944369,-2.036581576216,1.5354,1.5364,2.0337,2.0818,2.7293,2.7665,2.9669,2.9741,2.9812,3.2251,0.0169689909,1.282e-07,1.366e-07,0.0473034488,3.353e-07,0.0008135811,7.856e-07,0.00032994769999999994,2.2175e-06,0.0015593798000000001
0.0,2.0,3.5,-4.51715306955,-4.407428642869999,-2.4722934541799995,-2.058027689421,1.5178,1.5922,1.9905,2.1061,2.7008,2.824,2.95,3.0065,3.0153,3.1955,0.0233787252,7.22e-08,1.558e-07,0.0442296062,3.9310000000000005e-07,0.0008805935000000001,9.984999999999998e-07,0.0004105707,1.6617e-06,0.0007381649
0.0,2.2,3.5,-4.56250514324,-4.37994039373,-2.467652669295,-2.0769432075260004,1.5074,1.6372,1.9598,2.1283,2.68,2.8712,2.9346,3.011,3.043,3.1869,0.0310759819,4.9699999999999995e-08,1.768e-07,0.041330506,4.5210000000000003e-07,0.000806495,1.2115e-06,0.0005421852,1.0402e-06,0.0018312451
0.0,2.4,3.5,-4.600861345959999,-4.36066161278,-2.4644067048919998,-2.093884045132,1.5041,1.6713,1.9415,2.1471,2.667,2.9077,2.9219999999999997,3.0009,3.0643,3.1839,0.0397519494,2.8599999999999998e-08,1.971e-07,0.0387369564,5.112e-07,0.0005852321,1.4535e-06,0.0007016324,5.174e-07,0.0038984076
0.0,2.6,3.5,-4.63138630922,-4.34972291138,-2.4617294441190003,-2.10976529808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.8,3.5,-4.6538950002599995,-4.346985514960002,-2.459350956832,-2.125753216972,1.5187,1.7117,1.9340000000000002,2.1674,2.6678,2.9107,2.9488,2.9888,3.0980000000000003,3.1853,0.0574514516,3.9e-09,2.2239999999999998e-07,0.0349018663,6.117e-07,2.0121e-06,2.2604000000000002e-05,0.0009167433,7.57e-08,0.0063581974
0.0,3.0,3.5,-4.66885544312,-4.35150521223,-2.456851926144,-2.142457321488,1.5347,1.7235,1.9375,2.1666,2.6805,2.9132,2.9539999999999997,2.9961,3.1151,3.1921,0.0651087243,6e-10,2.2699999999999998e-07,0.0335671618,6.436e-07,2.3027e-06,1.96499e-05,0.0007417497,4.1100000000000004e-08,0.0069185356
0.2,0.0,3.5,-4.74090393458,-4.0739560722300014,-2.544195552074,-1.850034812868,1.0706,1.6569,1.9828,2.2811,2.4594,2.4729,2.6794,2.9293,2.9652,3.0431,1.708e-07,0.00020859720000000002,0.0559637302,0.0001389327,6.82e-08,4.5950200000000006e-05,8.093999999999999e-07,1.1200000000000001e-08,1.91e-08,1.1991300000000002e-05
0.2,0.2,3.5,-4.7355597531,-4.0812648662500015,-2.542164001212,-1.854156417597,1.0802,1.6572,1.9829,2.2911,2.4508,2.4838,2.6867,2.9298,2.9649,3.0557,1.7010000000000002e-07,0.0004718485,0.0560738322,0.0001252787,6.89e-08,5.59808e-05,8.75e-07,7.64e-08,1.96e-08,1.18321e-05
0.2,0.4,3.5,-4.719320407340001,-4.1025708443500015,-2.536684582553,-1.866319872604,1.1077,1.6566,1.9831,2.3199,2.425,2.5156,2.7071,2.9281,2.9656,3.092,1.682e-07,0.0011781257000000002,0.0563026857,0.0001008763,7.1e-08,8.43808e-05,1.0732e-06,1.673e-07,2.49e-08,1.1427699999999999e-05
0.2,0.6,3.5,-4.693121945380001,-4.1364998661799985,-2.52838559116,-1.885449811025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.8,3.5,-4.65869768881,-4.18105738743,-2.517902396878,-1.909750598767,1.2075,1.6459,1.9891,2.3307,2.4245,2.6301,2.7774,2.9011,2.9823,3.1678,1.602e-07,0.0031986884999999996,0.0565578535,8.09e-08,0.0001412066,0.0001685813,1.7493000000000001e-06,1.601e-07,1.2810000000000002e-07,6.150999999999999e-07
0.2,1.0,3.5,-4.61802857659,-4.23339172674,-2.506725057639,-1.9374249690950005,1.2726,1.6323,1.9978,2.2692,2.4927,2.7039,2.8206,2.8753,2.9928,3.1754,1.542e-07,0.004423127,0.0561524141,8.949999999999999e-08,0.0002295563,0.00021568110000000002,2.0887e-06,1.8469999999999998e-07,1.876e-07,2.059e-07
